,,,,Status:,Updated 9/15,,Denotes Piazza,Update all fields in Blue each week,We expect 50% of Single Sales 1 Week Prior,85%+ occupancy,,,,95%+ of Budget,,,,100%+ of Target,, ,,,,,,,,,,,,,,
,,,,,,,,,,70-85% occupancy,,,,85-95% of Budget,,,,90-99% of Target,,,,,,,,,,,,,,,,
,,,,,,Week #,,,,<70% occupancy,,,,<85% of Budget,,,,<90% of Target,,,,,,,,,,,,,,,,
,,,TICKET SALES REPORT as of 9/15/2025,,,3,,TOTAL SALES (Singles + Subs),,,,,,,Single Tickets,,,,,,,,Subscription Tickets,,,,Hall Data,,,Audience Data,,,Revenue last week,Increase over week
Wk #,# Weeks Until Perf,Perf. Week (Mon),Performance,,,Performance Date(s),Performance Type,Actual Total Tickets Sold,Projected Single Tickets + Actual Subs,Projected Total OCC at Performance,Total Actual Revenue,TOTAL BUDGET,"Actual/
Budget %",Projected/ Budget %,Actual Single Tickets Sold,Target Single Tickets for 85% OCC,Projected Single Tickets,Projected Single Tickets vs 85% OCC Target,Actual Revenue,BUDGET,"Actual/
Budget %",Projected/ Budget %,Actual Sub Tickets Sold,Actual Revenue,BUDGET,Actual vs Budget %,Max CAP,Actual OCC SOLD,Single Ticket ATP,# New HH,# Ret HH,# Total HH,,
40,37,6/1/2026,26 CS13 Rachmaninoff Cele Pt 2,,,6/5/2026,Classical,  622 , Too early ,Too early," $ 41,049 "," $ 66,666 ",62%,Too early,  47 ,  863 , Too early ,Too early," $ 2,422 "," $ 30,000 ",8%,Too early,  575 ," $ 38,627 "," $ 36,666 ",105%,"  1,590 ",39%, $ 66 ,,,,"$41,193.00 ",-$144.00
40,37,6/1/2026,26 CS13 Rachmaninoff Cele Pt 2,,,6/6/2026,Classical,  684 , Too early ,Too early," $ 45,695 "," $ 66,667 ",69%,Too early,  81 ,  839 , Too early ,Too early," $ 4,789 "," $ 30,000 ",16%,Too early,  603 ," $ 40,906 "," $ 36,667 ",112%,"  1,590 ",43%, $ 67 ,,,,"$45,445.00 ",$249.90
40,37,6/1/2026,26 CS13 Rachmaninoff Cele Pt 2,,,6/7/2026,Classical,  720 , Too early ,Too early," $ 46,005 "," $ 66,667 ",69%,Too early,  90 ,  816 , Too early ,Too early," $ 5,394 "," $ 30,000 ",18%,Too early,  630 ," $ 40,611 "," $ 36,667 ",111%,"  1,590 ",45%, $ 64 ,,,,"$45,813.00 ",$191.60
41,38,6/8/2026,OPEN,,,,,  -   , Too early ,, $ -   , $ -   ,#DIV/0!,,,, Too early ,,,,,,,,,N/A,,#DIV/0!,#DIV/0!,,,, $-   ,
42,39,6/15/2026,26 CS14 Rhapsody in Blue,,,6/19/2026,Classical,  468 , Too early ,Too early," $ 31,448 "," $ 60,000 ",52%,Too early,  89 ,"  1,029 ", Too early ,Too early," $ 5,228 "," $ 30,000 ",17%,Too early,  379 ," $ 26,220 "," $ 30,000 ",87%,"  1,590 ",29%, $ 67 ,,,,"$31,433.00 ",$15.00
42,39,6/15/2026,26 CS14 Rhapsody in Blue,,,6/20/2026,Classical,  783 , Too early ,Too early," $ 49,815 "," $ 70,000 ",71%,Too early,  195 ,  852 , Too early ,Too early," $ 11,643 "," $ 27,500 ",42%,Too early,  588 ," $ 38,172 "," $ 42,500 ",90%,"  1,590 ",49%, $ 64 ,,,,"$49,647.00 ",$168.00
42,39,6/15/2026,26 CS14 Rhapsody in Blue,,,6/21/2026,Classical,  746 , Too early ,Too early," $ 47,300 "," $ 70,000 ",68%,Too early,  179 ,  870 , Too early ,Too early," $ 10,594 "," $ 27,500 ",39%,Too early,  567 ," $ 36,706 "," $ 42,500 ",86%,"  1,590 ",47%, $ 63 ,,,,"$46,963.00 ",$337.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$76,734.70"
,,,CLASSICAL,,,,,  -   ,  -   ,, $ -   ," $ 2,139,000 ",,,  -   ,,  -   ,, $ -   ," $ 704,000 ",,,  -   , $ -   ," $ 1,435,000 ",,  -   ,#DIV/0!,#DIV/0!,,,,,
,,,PIAZZA,,,,,  -   ,  -   ,, $ -   ," $ 363,000 ",,,  -   ,,  -   ,, $ -   ," $ 163,000 ",,,  -   , $ -   ," $ 200,000 ",,  -   ,#DIV/0!,#DIV/0!,,,,,
,,,POPS,,,,,  -   ,  -   ,, $ -   ," $ 1,457,000 ",,,  -   ,,  -   ,, $ -   ," $ 838,000 ",,,  -   , $ -   ," $ 619,000 ",,  -   ,#DIV/0!,#DIV/0!,,,,,
,,,FAMILY,,,,,  -   ,  -   ,, $ -   ," $ 525,950 ",,,  -   ,,  -   ,, $ -   ," $ 485,000 ",,,  -   , $ -   ," $ 40,950 ",,  -   ,#DIV/0!,#DIV/0!,,,,,
,,,FILM,,,,,  -   ,  -   ,, $ -   ," $ 1,745,490 ",,,  -   ,,  -   ,, $ -   ," $ 1,745,490 ",,,  -   , $ -   , $ -   ,,  -   ,#DIV/0!,#DIV/0!,,,,,
,,,ON STAGE,,,,,  -   ,  -   ,, $ -   ," $ 38,200 ",,,  -   ,,  -   ,, $ -   ," $ 38,200 ",,,  -   , $ -   , $ -   ,,  -   ,#DIV/0!,#DIV/0!,,,,,
,,,OTHER,,,,,  -   ,  -   ,, $ -   ,,,,  -   ,,  -   ,, $ -   ,,,,  -   , $ -   , $ -   ,,  -   ,#DIV/0!,#DIV/0!,,,,,
,,,ALL CONCERTS,,,,,  -   ,  -   ,,  -   ,"  6,268,640 ",,,  -   ,,  -   ,, $ -   ," $ 3,973,690 ",,,  -   , $ -   ," $ 2,169,893 ",,0,#DIV/0!,#DIV/0!,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Future Improvements:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Set GYR Occ goals by performance type ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Build projections for summaries by performance type,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Reconcile Subscription actuals (Chuck data) with Tessitura reporting at performance level ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Evalute Week 0 logic for projections - do we need to lag by a week?,,,,,,,,,,,,,,,,,,,,,,,,,
